nama, lat, lon
Kapuas Kuala, -3.3198600, 114.3103720
Tamban Catur, -3.2066700, 114.4054490
Kapuas Timur, -3.0950770, 114.4529790
Selat, -2.9955380, 114.3935660
Bataguh, -3.1722080, 114.3103720
Basarang, -2.9516440, 114.3103720
Kapuas Hilir, -2.9938480, 114.4648610
Pulau Petak, -2.9200340, 114.4886230
Kapuas Murung, -2.7634800, 114.5480230
Dadahup, -2.6621750, 114.5888980
Kapuas Barat, -2.7853790, 114.3816820
Mantangai, -2.0278010, 114.2390500
Timpah, -1.5597340, 114.5717800
Kapuas Tengah, -1.2092740, 114.3816820
Pasak Talawang, -1.0706510, 114.1914950
Kapuas Hulu, -0.9328060, 113.9060620
Mandau Talawang, -0.6534350, 114.0012260